Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Borås,2012,104867
"Invånare  totalt, antal",Borås,2013,105995
"Invånare  totalt, antal",Borås,2014,107022
"Invånare  totalt, antal",Borås,2015,108488
"Invånare  totalt, antal",Borås,2016,109880
"Invånare  totalt, antal",Botkyrka,2010,82608
"Invånare  totalt, antal",Botkyrka,2011,84677
"Invånare  totalt, antal",Botkyrka,2012,86274
"Invånare  totalt, antal",Botkyrka,2013,87580
"Invånare  totalt, antal",Botkyrka,2014,88901
"Invånare  totalt, antal",Botkyrka,2015,89425
"Invånare  totalt, antal",Botkyrka,2016,90675
"Invånare  totalt, antal",Boxholm,2010,5221
"Invånare  totalt, antal",Boxholm,2011,5205
"Invånare  totalt, antal",Boxholm,2012,5206
"Invånare  totalt, antal",Boxholm,2013,5278
"Invånare  totalt, antal",Boxholm,2014,5322
"Invånare  totalt, antal",Boxholm,2015,5328
"Invånare  totalt, antal",Boxholm,2016,5373
"Invånare  totalt, antal",Bromölla,2010,12272
"Invånare  totalt, antal",Bromölla,2011,12366
"Invånare  totalt, antal",Bromölla,2012,12250
"Invånare  totalt, antal",Bromölla,2013,12336
"Invånare  totalt, antal",Bromölla,2014,12400
"Invånare  totalt, antal",Bromölla,2015,12513
"Invånare  totalt, antal",Bromölla,2016,12625
"Invånare  totalt, antal",Bräcke,2010,6885
"Invånare  totalt, antal",Bräcke,2011,6750
"Invånare  totalt, antal",Bräcke,2012,6655
"Invånare  totalt, antal",Bräcke,2013,6559
"Invånare  totalt, antal",Bräcke,2014,6463
"Invånare  totalt, antal",Bräcke,2015,6455
"Invånare  totalt, antal",Bräcke,2016,6492
"Invånare  totalt, antal",Burlöv,2010,16701
"Invånare  totalt, antal",Burlöv,2011,16843
"Invånare  totalt, antal",Burlöv,2012,17011
"Invånare  totalt, antal",Burlöv,2013,17114
"Invånare  totalt, antal",Burlöv,2014,17211
"Invånare  totalt, antal",Burlöv,2015,17430
"Invånare  totalt, antal",Burlöv,2016,17646
