,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
112,"Stöld-, rån- och häleribrott",3150,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,533505
113,"Stöld-, rån- och häleribrott",3150,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,551254
114,"Stöld-, rån- och häleribrott",3150,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,539281
115,"Stöld-, rån- och häleribrott",3150,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,538310
116,"Stöld-, rån- och häleribrott",3150,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,545638
117,"Stöld-, rån- och häleribrott",3150,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,534265
118,"Stöld-, rån- och häleribrott",3150,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,507390
119,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,228623
120,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,231476
121,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,236914
122,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,237574
123,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,240499
124,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,236028
125,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,232090
126,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,235961
127,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,236234
